[2025-03-27 12:15:19] 2: Utilizador Verificou os Logs
[2025-03-27 12:15:25] 0: O utilizador saiu do Programa
[2025-03-27 12:21:43] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:21:45] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:21:48] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:21:52] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:21:56] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:22:07] 0: O utilizador saiu do Programa
[2025-03-27 12:22:10] 0: O utilizador saiu do Programa
[2025-03-27 12:22:17] 0: O utilizador saiu do Programa
[2025-03-27 12:23:33] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:23:36] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:24:25] 0: O utilizador saiu do Programa
[2025-03-27 12:24:28] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:24:29] 2: Utilizador Verificou os Logs
[2025-03-27 12:24:37] 2: Utilizador Verificou os Logs
[2025-03-27 12:24:54] 0: O utilizador saiu do Programa
[2025-03-27 12:25:01] 0: O utilizador saiu do Programa
[2025-03-27 12:25:07] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:13] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
[2025-03-27 12:25:14] 1: Utilizador viu os Estados das Trotinetes
